Date,City,Session,Outlet,Restaurant,ItemName,Quantity,MasterID
31-05-2017,BN,Dinner,BMR,Nandhana,New Nellore Mutton Biryani ,2,1214
31-05-2017,BN,Dinner,BMR,Nandhana,New Natu Kodi Biryani & Chicken Pepper Roast,2,1398
31-05-2017,BN,Dinner,BMR,Nandhana,New Hyderabadi Biryani & Chili Chicken,2,1224
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
31-05-2017,BN,,,,,,
